GEOID,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Combined Statistical Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),ZIP Code Tabulation Area (5-digit),Subbarrio (FIPS),School District (Elementary),School District (Secondary),School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Total Population,Total Population.1,Population Density (Per Sq. Mile),Area (Land).1,Total Population:,Total Population: Male,Total Population: Female,Total Population:.1,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population:.2,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Households:,Households: Family Households,Households: Family Households: Married-Couple Family,Households: Family Households: Other Family,"Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present",Households: Nonfamily Households,Households: Nonfamily Households: Male Householder,Households: Nonfamily Households: Female Householder,Median Household Income (In 2017 Inflation Adjusted Dollars),Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly),Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling),Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling),Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)
32005001000,"Census Tract 10, Douglas County, Nevada","Census Tract 10, Douglas County, Nevada",nv,140,0,ACSSF,818,,,,,32,5,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32005001000,,,5454892,0,2520,2520,1196.498,2.10614566553976,2520,1295,1225,2520,106,102,112,152,169,280,289,368,385,318,202,37,2520,2298,21,12,22,45,37,85,1034,741,602,139,33,106,293,241,52,67805.0,1139,1034,863,171,2520,125,249,374,2146
32005001100,"Census Tract 11, Douglas County, Nevada","Census Tract 11, Douglas County, Nevada",nv,140,0,ACSSF,819,,,,,32,5,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32005001100,,,3402674,0,5589,5589,4254.138,1.31377983218455,5589,2710,2879,5589,255,482,371,96,710,879,656,602,711,501,216,110,5589,4622,0,196,227,62,281,201,2198,1558,1207,351,128,223,640,356,284,54907.0,2223,2198,1124,1074,5589,492,1174,1666,3923
32005001200,"Census Tract 12, Douglas County, Nevada","Census Tract 12, Douglas County, Nevada",nv,140,0,ACSSF,820,,,,,32,5,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32005001200,,,10253537,0,2889,2889,729.7458,3.95891293704836,2889,1437,1452,2889,156,116,164,60,308,154,249,409,376,471,250,176,2889,2810,0,0,7,0,63,9,1322,829,656,173,134,39,493,200,293,48029.0,1409,1322,759,563,2889,371,441,812,2077
32005001300,"Census Tract 13, Douglas County, Nevada","Census Tract 13, Douglas County, Nevada",nv,140,0,ACSSF,821,,,,,32,5,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32005001300,,,94420092,15968,1725,1725,47.31757,36.4558044284375,1725,886,839,1725,25,20,60,70,49,92,113,187,427,463,190,29,1725,1707,0,0,6,0,12,0,757,634,544,90,41,49,123,62,61,73854.0,879,757,700,57,1725,175,236,411,1314
32005001400,"Census Tract 14, Douglas County, Nevada","Census Tract 14, Douglas County, Nevada",nv,140,0,ACSSF,822,,,,,32,5,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32005001400,,,7078102,49380,3160,3160,1156.2930000000001,2.7328705770065294,3160,1510,1650,3160,5,285,118,135,172,299,311,348,493,516,407,71,3160,2710,13,6,39,1,228,163,1455,1016,823,193,50,143,439,196,243,54605.0,1624,1455,908,547,3085,389,316,705,2380
32005001500,"Census Tract 15, Douglas County, Nevada","Census Tract 15, Douglas County, Nevada",nv,140,0,ACSSF,823,,,,,32,5,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32005001500,,,10060707,0,6034,6034,1553.369,3.88446085464489,6034,2943,3091,6034,251,443,336,251,375,830,553,784,931,766,383,131,6034,5255,70,0,127,19,215,348,2669,1714,1188,526,135,391,955,397,558,47435.0,2730,2669,1382,1287,5885,818,1433,2251,3634
32005001600,"Census Tract 16, Douglas County, Nevada","Census Tract 16, Douglas County, Nevada",nv,140,0,ACSSF,824,,,,,32,5,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32005001600,,,57708530,2026394,1221,1221,54.7991,22.2813881763159,1221,638,583,1221,36,0,15,0,37,180,46,139,257,310,165,36,1221,1104,0,0,77,0,40,0,635,391,364,27,14,13,244,163,81,81750.0,1727,635,499,136,1221,82,58,140,1081
32005001700,"Census Tract 17, Douglas County, Nevada","Census Tract 17, Douglas County, Nevada",nv,140,0,ACSSF,825,,,,,32,5,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32005001700,,,16602399,607877,1730,1730,269.8814,6.410222363964619,1730,923,807,1730,68,62,75,91,107,246,270,261,232,227,75,16,1730,1236,49,17,42,13,273,100,778,463,310,153,59,94,315,223,92,50655.0,1281,778,282,496,1730,169,337,506,1224
32005001800,"Census Tract 18, Douglas County, Nevada","Census Tract 18, Douglas County, Nevada",nv,140,0,ACSSF,826,,,,,32,5,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32005001800,,,24384403,0,2303,2303,244.613,9.41487142025368,2303,1218,1085,2303,170,71,35,16,48,161,257,306,749,337,103,50,2303,2098,0,28,0,0,97,80,1104,640,461,179,15,164,464,388,76,58913.0,1807,1104,753,351,2303,188,422,610,1693
32005001900,"Census Tract 19, Douglas County, Nevada","Census Tract 19, Douglas County, Nevada",nv,140,0,ACSSF,827,,,,,32,5,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32005001900,,,147139996,141803,1349,1349,23.74537,56.8110740281422,1349,621,728,1349,74,106,35,69,29,63,80,100,323,278,150,42,1349,1272,0,45,0,0,19,13,526,467,416,51,10,41,59,30,29,135764.0,849,526,437,89,1322,35,138,173,1149
