"FIPS","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Tribal Tract","Tribal Block Group","Area (Land)","Area (Water)","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Total Population:","Total Population: Male","Total Population: Female","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Households:","Households: Family Households","Households: Family Households: Married-Couple Family","Households: Family Households: Other Family","Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present","Households: Nonfamily Households","Households: Nonfamily Households: Male Householder","Households: Nonfamily Households: Female Householder","Median Household Income (In 2017 Inflation Adjusted Dollars)","Housing Units","Occupied Housing Units:","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied","Population for Whom Poverty Status Is Determined:","Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly)","Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling)","Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling)","Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A14006_001,SE_A10001_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005
"08013012101","Census Tract 121.01, Boulder County, Colorado","Census Tract 121.01, Boulder County, Colorado","co","140","00","ACSSF","0001329",,,,,"08","013",,,,"012101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012101",,,"2860167","0",4685,4685,4242.442,1.10431669953683,4685,2362,2323,4685,224,437,203,132,376,666,593,767,724,437,92,34,4685,4267,16,0,165,0,66,171,1975,1176,1043,133,66,67,799,207,592,99549,2109,1975,1450,525,4677,441,248,689,3988
"08013012102","Census Tract 121.02, Boulder County, Colorado","Census Tract 121.02, Boulder County, Colorado","co","140","00","ACSSF","0001330",,,,,"08","013",,,,"012102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012102",,,"2882031","0",7359,7359,6613.295,1.11275843749083,7359,3835,3524,7359,560,267,363,161,637,1766,1041,817,861,457,287,142,7359,6698,36,0,368,0,21,236,2989,1484,1100,384,202,182,1505,725,780,73477,3189,2989,1600,1389,7183,665,1035,1700,5483
"08013012103","Census Tract 121.03, Boulder County, Colorado","Census Tract 121.03, Boulder County, Colorado","co","140","00","ACSSF","0001331",,,,,"08","013",,,,"012103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012103",,,"2307669","650",3950,3950,4433.241,0.89099602005878,3950,1919,2031,3950,126,217,274,123,390,472,625,513,604,389,157,60,3950,3480,41,0,63,0,190,176,1655,998,855,143,21,122,657,273,384,89455,1744,1655,1174,481,3916,327,600,927,2989
"08013012104","Census Tract 121.04, Boulder County, Colorado","Census Tract 121.04, Boulder County, Colorado","co","140","00","ACSSF","0001332",,,,,"08","013",,,,"012104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012104",,,"2700871","96592",2484,2484,2382.021,1.0428121674695,2484,1182,1302,2484,137,142,248,104,55,73,386,348,457,357,167,10,2484,2237,0,15,55,2,0,175,1051,714,578,136,9,127,337,111,226,107991,1082,1051,851,200,2484,241,290,531,1953
"08013012105","Census Tract 121.05, Boulder County, Colorado","Census Tract 121.05, Boulder County, Colorado","co","140","00","ACSSF","0001333",,,,,"08","013",,,,"012105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012105",,,"2471068","470",5614,5614,5884.173,0.954084729350097,5614,2761,2853,5614,293,239,510,286,171,967,852,881,686,615,58,56,5614,5273,13,36,210,0,0,82,2391,1316,1107,209,47,162,1075,493,582,80813,2516,2391,1846,545,5603,461,1068,1529,4074
"08013012201","Census Tract 122.01, Boulder County, Colorado","Census Tract 122.01, Boulder County, Colorado","co","140","00","ACSSF","0001334",,,,,"08","013",,,,"012201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012201",,,"5303268","0",3915,3915,1911.991,2.04760330935896,3915,2194,1721,3915,123,58,63,8,1260,698,356,421,395,365,113,55,3915,3743,17,0,17,13,26,99,1710,669,516,153,72,81,1041,637,404,66250,1802,1710,726,984,3915,1189,386,1575,2340
"08013012202","Census Tract 122.02, Boulder County, Colorado","Census Tract 122.02, Boulder County, Colorado","co","140","00","ACSSF","0001335",,,,,"08","013",,,,"012202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012202",,,"1644044","0",6020,6020,9483.766,0.634768964180529,6020,2978,3042,6020,101,79,56,0,2834,1650,396,154,453,191,86,20,6020,4975,196,0,325,0,192,332,3047,428,251,177,125,52,2619,1248,1371,38032,3505,3047,556,2491,5906,2532,743,3275,2631
"08013012203","Census Tract 122.03, Boulder County, Colorado","Census Tract 122.03, Boulder County, Colorado","co","140","00","ACSSF","0001336",,,,,"08","013",,,,"012203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012203",,,"6481097","189238",7067,7067,2824.128,2.50236564802617,7067,3951,3116,7067,49,294,316,122,893,1871,1262,737,680,466,175,202,7067,6188,64,24,427,0,197,167,3920,1270,878,392,140,252,2650,1732,918,53896,4126,3920,1785,2135,7051,942,1749,2691,4360
"08013012204","Census Tract 122.04, Boulder County, Colorado","Census Tract 122.04, Boulder County, Colorado","co","140","00","ACSSF","0001337",,,,,"08","013",,,,"012204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012204",,,"1393759","0",4076,4076,7574.331,0.538133381312964,4076,2250,1826,4076,60,19,16,30,2049,755,223,281,317,181,85,60,4076,3860,53,0,31,0,36,96,1886,381,256,125,118,7,1505,715,790,39864,2019,1886,391,1495,3978,1804,533,2337,1641
