"FIPS","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Tribal Tract","Tribal Block Group","Area (Land)","Area (Water)","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Total Population:","Total Population: Male","Total Population: Female","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Households:","Households: Family Households","Households: Family Households: Married-Couple Family","Households: Family Households: Other Family","Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present","Households: Nonfamily Households","Households: Nonfamily Households: Male Householder","Households: Nonfamily Households: Female Householder","Median Household Income (In 2017 Inflation Adjusted Dollars)","Housing Units","Occupied Housing Units:","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied","Population for Whom Poverty Status Is Determined:","Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly)","Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling)","Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling)","Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A14006_001,SE_A10001_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005
"06017030200","Census Tract 302, El Dorado County, California","Census Tract 302, El Dorado County, California","ca","140","00","ACSSF","0003351",,,,,"06","017",,,,"030200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030200",,,"9429896","1486408",5299,5299,1455.408,3.64090335553678,5299,2868,2431,5299,198,230,218,316,509,821,853,591,867,441,225,30,5299,4084,58,61,212,20,703,161,2055,1088,854,234,167,67,967,551,416,54071,3386,2055,946,1109,5103,519,1110,1629,3474
"06017030301","Census Tract 303.01, El Dorado County, California","Census Tract 303.01, El Dorado County, California","ca","140","00","ACSSF","0003352",,,,,"06","017",,,,"030301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030301",,,"1134174","0",2874,2874,6563.037,0.437907048217984,2874,1629,1245,2874,173,180,87,27,425,378,311,425,447,192,202,27,2874,2456,10,3,39,0,320,46,1054,577,445,132,75,57,477,306,171,48269,1852,1054,543,511,2874,479,841,1320,1554
"06017030302","Census Tract 303.02, El Dorado County, California","Census Tract 303.02, El Dorado County, California","ca","140","00","ACSSF","0003353",,,,,"06","017",,,,"030302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030302",,,"3241412","0",2718,2718,2171.766,1.25151622324119,2718,1311,1407,2718,171,160,57,31,230,505,314,353,479,260,54,104,2718,2442,25,19,27,0,191,14,1207,693,481,212,38,174,514,254,260,36782,2504,1207,478,729,2718,529,793,1322,1396
"06017030401","Census Tract 304.01, El Dorado County, California","Census Tract 304.01, El Dorado County, California","ca","140","00","ACSSF","0003354",,,,,"06","017",,,,"030401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030401",,,"4779638","541288",3710,3710,2010.373,1.84542862746854,3710,1862,1848,3710,174,123,60,48,144,790,427,246,841,554,225,78,3710,3339,15,0,80,19,191,66,1551,863,722,141,18,123,688,354,334,56339,3730,1551,1115,436,3692,323,557,880,2812
"06017030402","Census Tract 304.02, El Dorado County, California","Census Tract 304.02, El Dorado County, California","ca","140","00","ACSSF","0003355",,,,,"06","017",,,,"030402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030402",,,"10996506","0",3972,3972,935.5182,4.24577488389908,3972,1992,1980,3972,156,198,312,141,378,683,349,622,511,415,161,46,3972,3302,77,7,180,11,171,224,1664,930,589,341,101,240,734,392,342,37868,2862,1664,756,908,3919,743,952,1695,2224
"06017030502","Census Tract 305.02, El Dorado County, California","Census Tract 305.02, El Dorado County, California","ca","140","00","ACSSF","0003356",,,,,"06","017",,,,"030502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030502",,,"17251475","36532",2638,2638,396.0466,6.66083240540111,2638,1368,1270,2638,200,143,118,98,132,167,415,404,552,340,69,0,2638,2552,8,0,6,0,8,64,1027,757,688,69,28,41,270,114,156,89583,1889,1027,932,95,2624,152,295,447,2177
"06017030504","Census Tract 305.04, El Dorado County, California","Census Tract 305.04, El Dorado County, California","ca","140","00","ACSSF","0003357",,,,,"06","017",,,,"030504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030504",,,"29824948","0",2440,2440,211.8887,11.5154772917867,2440,1084,1356,2440,88,146,138,83,130,202,332,301,555,356,85,24,2440,2171,0,44,116,1,2,106,926,650,561,89,22,67,276,122,154,70435,2144,926,692,234,2433,230,346,576,1857
"06017030505","Census Tract 305.05, El Dorado County, California","Census Tract 305.05, El Dorado County, California","ca","140","00","ACSSF","0003358",,,,,"06","017",,,,"030505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030505",,,"148884104","451002",2352,2352,40.9154,57.4844732871349,2352,1104,1248,2352,57,141,184,99,225,305,302,260,475,249,35,20,2352,2220,17,0,11,0,15,89,921,611,515,96,21,75,310,181,129,63194,2102,921,682,239,2336,129,320,449,1887
"06017030601","Census Tract 306.01, El Dorado County, California","Census Tract 306.01, El Dorado County, California","ca","140","00","ACSSF","0003359",,,,,"06","017",,,,"030601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030601",,,"164681146","12435366",5162,5162,81.18427,63.5837509671859,5162,2835,2327,5162,190,313,437,197,375,502,520,760,813,614,395,46,5162,4902,0,25,39,0,0,196,1910,1431,1312,119,11,108,479,309,170,90517,2173,1910,1676,234,5162,177,546,723,4439
"06017030602","Census Tract 306.02, El Dorado County, California","Census Tract 306.02, El Dorado County, California","ca","140","00","ACSSF","0003360",,,,,"06","017",,,,"030602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030602",,,"357428913","326934",7325,7325,53.07814,138.00408650542,7325,3782,3543,7325,199,396,467,329,338,682,821,824,1932,615,631,91,7325,6980,31,103,28,0,52,131,2645,2053,1780,273,89,184,592,306,286,67168,3008,2645,2221,424,7203,946,1589,2535,4668
"06017030603","Census Tract 306.03, El Dorado County, California","Census Tract 306.03, El Dorado County, California","ca","140","00","ACSSF","0003361",,,,,"06","017",,,,"030603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030603",,,"1219176067","26378126",3342,3342,7.099664,470.726530007089,3342,1843,1499,3342,133,118,165,115,251,211,310,641,641,494,130,133,3342,3172,37,0,46,20,0,67,1365,836,687,149,80,69,529,280,249,52194,2035,1365,1235,130,3304,410,665,1075,2229
"06017030701","Census Tract 307.01, El Dorado County, California","Census Tract 307.01, El Dorado County, California","ca","140","00","ACSSF","0003362",,,,,"06","017",,,,"030701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030701",,,"13426997","5786926",6395,6395,1233.557,5.18419274529457,6395,3442,2953,6395,147,388,508,396,701,305,611,1343,1186,528,242,40,6395,5787,18,117,330,0,68,75,2084,1865,1719,146,53,93,219,106,113,127115,2116,2084,1903,181,6395,206,544,750,5645
"06017030704","Census Tract 307.04, El Dorado County, California","Census Tract 307.04, El Dorado County, California","ca","140","00","ACSSF","0003363",,,,,"06","017",,,,"030704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030704",,,"143076016","16853",7684,7684,139.0972,55.2419609666145,7684,3780,3904,7684,663,648,531,350,399,712,848,1204,938,795,436,160,7684,5938,305,0,841,0,209,391,2693,2101,1732,369,51,318,592,163,429,106761,2756,2693,2142,551,7684,506,357,863,6821
"06017030706","Census Tract 307.06, El Dorado County, California","Census Tract 307.06, El Dorado County, California","ca","140","00","ACSSF","0003364",,,,,"06","017",,,,"030706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030706",,,"8250145","0",6043,6043,1897.094,3.18539892848924,6043,2977,3066,6043,328,620,447,188,337,525,775,1115,823,636,187,62,6043,4698,215,0,411,0,121,598,2182,1596,1487,109,41,68,586,194,392,117179,2292,2182,1767,415,6043,268,433,701,5342
"06017030709","Census Tract 307.09, El Dorado County, California","Census Tract 307.09, El Dorado County, California","ca","140","00","ACSSF","0003365",,,,,"06","017",,,,"030709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030709",,,"14176221","341281",4722,4722,862.7068,5.47346976124986,4722,2271,2451,4722,221,263,419,354,327,215,538,996,759,475,114,41,4722,4152,44,15,301,0,72,138,1525,1328,1222,106,52,54,197,115,82,135250,1638,1525,1463,62,4722,72,214,286,4436
"06017030710","Census Tract 307.10, El Dorado County, California","Census Tract 307.10, El Dorado County, California","ca","140","00","ACSSF","0003366",,,,,"06","017",,,,"030710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030710",,,"7883594","15273",4879,4879,1602.892,3.0438727901442,4879,2491,2388,4879,136,289,363,229,428,259,469,947,882,551,283,43,4879,3846,128,20,686,0,41,158,1704,1392,1294,98,7,91,312,123,189,137386,1787,1704,1599,105,4879,126,163,289,4590
