"FIPS","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Tribal Tract","Tribal Block Group","Area (Land)","Area (Water)","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Total Population:","Total Population: Male","Total Population: Female","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Households:","Households: Family Households","Households: Family Households: Married-Couple Family","Households: Family Households: Other Family","Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present","Households: Nonfamily Households","Households: Nonfamily Households: Male Householder","Households: Nonfamily Households: Female Householder","Median Household Income (In 2017 Inflation Adjusted Dollars)","Housing Units","Occupied Housing Units:","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied","Population for Whom Poverty Status Is Determined:","Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly)","Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling)","Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling)","Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A14006_001,SE_A10001_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005
"32003000101","Census Tract 1.01, Clark County, Nevada","Census Tract 1.01, Clark County, Nevada","nv","140","00","ACSSF","0000331",,,,,"32","003",,,,"000101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000101",,,"3718504","16683",7105,7105,4948.728,1.43572248211189,7105,3666,3439,7105,496,545,673,287,844,826,849,976,797,369,347,96,7105,4128,610,145,180,217,1597,228,1922,1550,919,631,292,339,372,230,142,45708,2091,1922,1358,564,7029,1046,2534,3580,3449
"32003000103","Census Tract 1.03, Clark County, Nevada","Census Tract 1.03, Clark County, Nevada","nv","140","00","ACSSF","0000332",,,,,"32","003",,,,"000103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000103",,,"1298899","0",5702,5702,11369.71,0.501507728993339,5702,2928,2774,5702,598,276,538,242,644,766,992,833,338,203,219,53,5702,2951,725,130,124,13,1461,298,1822,1178,616,562,161,401,644,297,347,34783,1989,1822,750,1072,5702,1157,2003,3160,2542
"32003000105","Census Tract 1.05, Clark County, Nevada","Census Tract 1.05, Clark County, Nevada","nv","140","00","ACSSF","0000333",,,,,"32","003",,,,"000105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000105",,,"2034700","0",3696,3696,4704.672,0.785602095453724,3696,1921,1775,3696,273,254,220,99,365,534,622,514,326,288,152,49,3696,2039,26,31,92,0,995,513,1030,718,442,276,148,128,312,240,72,69844,1333,1030,765,265,3696,349,1049,1398,2298
"32003000106","Census Tract 1.06, Clark County, Nevada","Census Tract 1.06, Clark County, Nevada","nv","140","00","ACSSF","0000334",,,,,"32","003",,,,"000106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000106",,,"1411763","0",4158,4158,7628.171,0.545084764871497,4158,2283,1875,4158,241,211,248,105,103,618,443,499,591,497,480,122,4158,2634,428,78,235,204,461,118,1942,888,519,369,209,160,1054,483,571,25278,2137,1942,544,1398,4158,1290,1241,2531,1627
"32003000107","Census Tract 1.07, Clark County, Nevada","Census Tract 1.07, Clark County, Nevada","nv","140","00","ACSSF","0000335",,,,,"32","003",,,,"000107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000107",,,"1248432","0",3621,3621,7512.101,0.48202231052808,3621,1851,1770,3621,197,303,157,142,274,590,437,351,581,363,187,39,3621,2083,341,1,276,85,734,101,1425,779,578,201,44,157,646,273,373,34622,1604,1425,447,978,3621,659,1178,1837,1784
"32003000108","Census Tract 1.08, Clark County, Nevada","Census Tract 1.08, Clark County, Nevada","nv","140","00","ACSSF","0000336",,,,,"32","003",,,,"000108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000108",,,"942475","0",3634,3634,9986.489,0.363891647374428,3634,1822,1812,3634,336,301,314,222,354,575,474,320,407,190,122,19,3634,2138,407,39,32,14,936,68,1019,641,317,324,122,202,378,204,174,38350,1197,1019,499,520,3531,835,1352,2187,1344
"32003000109","Census Tract 1.09, Clark County, Nevada","Census Tract 1.09, Clark County, Nevada","nv","140","00","ACSSF","0000337",,,,,"32","003",,,,"000109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000109",,,"935239","0",3875,3875,10731.16,0.361097812036195,3875,2192,1683,3875,173,165,240,274,571,460,494,658,351,268,139,82,3875,2160,468,14,200,15,824,194,1230,758,387,371,84,287,472,264,208,46944,1416,1230,650,580,3875,921,1126,2047,1828
"32003000201","Census Tract 2.01, Clark County, Nevada","Census Tract 2.01, Clark County, Nevada","nv","140","00","ACSSF","0000338",,,,,"32","003",,,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000201",,,"2179712","0",4512,4512,5361.271,0.841591544053486,4512,2390,2122,4512,440,476,231,106,337,709,627,560,343,405,245,33,4512,1159,1729,0,263,7,1019,335,1482,846,478,368,182,186,636,410,226,31888,1788,1482,479,1003,4503,1375,1078,2453,2050
"32003000203","Census Tract 2.03, Clark County, Nevada","Census Tract 2.03, Clark County, Nevada","nv","140","00","ACSSF","0000339",,,,,"32","003",,,,"000203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000203",,,"2039395","0",4156,4156,5278.031,0.787414845165306,4156,2065,2091,4156,241,221,376,223,376,619,650,405,639,229,88,89,4156,2168,720,21,386,24,663,174,1461,679,297,382,166,216,782,396,386,32476,1831,1461,404,1057,4009,1638,578,2216,1793
"32003000204","Census Tract 2.04, Clark County, Nevada","Census Tract 2.04, Clark County, Nevada","nv","140","00","ACSSF","0000340",,,,,"32","003",,,,"000204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000204",,,"1731611","0",1120,1120,1675.195,0.668578773337946,1120,553,567,1120,40,103,60,6,77,103,157,156,200,120,72,26,1120,781,41,2,211,8,38,39,358,283,202,81,38,43,75,44,31,66111,405,358,337,21,1004,112,88,200,804
"32003000301","Census Tract 3.01, Clark County, Nevada","Census Tract 3.01, Clark County, Nevada","nv","140","00","ACSSF","0000341",,,,,"32","003",,,,"000301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000301",,,"3645869","0",2623,2623,1863.352,1.40767795063143,2623,1501,1122,2623,177,114,220,44,262,406,278,535,353,134,76,24,2623,841,1218,4,69,8,419,64,776,449,181,268,83,185,327,191,136,30000,1119,776,267,509,2623,1075,596,1671,952
"32003000302","Census Tract 3.02, Clark County, Nevada","Census Tract 3.02, Clark County, Nevada","nv","140","00","ACSSF","0000342",,,,,"32","003",,,,"000302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000302",,,"2309196","0",4832,4832,5419.558,0.891585598079991,4832,2269,2563,4832,519,425,441,140,477,851,552,523,533,197,158,16,4832,1111,2662,19,40,214,630,156,1578,1084,336,748,136,612,494,199,295,21602,1729,1578,376,1202,4832,1790,1027,2817,2015
"32003000401","Census Tract 4.01, Clark County, Nevada","Census Tract 4.01, Clark County, Nevada","nv","140","00","ACSSF","0000343",,,,,"32","003",,,,"000401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000401",,,"933886","0",2354,2354,6528.454,0.360575415793432,2354,1530,824,2354,47,140,58,42,295,316,164,434,585,191,41,41,2354,1048,611,154,95,26,328,92,628,204,62,142,44,98,424,309,115,17649,829,628,110,518,2276,1219,622,1841,435
"32003000402","Census Tract 4.02, Clark County, Nevada","Census Tract 4.02, Clark County, Nevada","nv","140","00","ACSSF","0000344",,,,,"32","003",,,,"000402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000402",,,"1382723","0",2839,2839,5317.75,0.533872357709765,2839,1583,1256,2839,214,248,246,144,260,368,512,446,211,135,30,25,2839,820,565,19,41,9,1359,26,1076,516,309,207,86,121,560,344,216,18205,1379,1076,82,994,2739,1203,769,1972,767
"32003000403","Census Tract 4.03, Clark County, Nevada","Census Tract 4.03, Clark County, Nevada","nv","140","00","ACSSF","0000345",,,,,"32","003",,,,"000403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000403",,,"654831","0",2545,2545,10065.99,0.252831673351382,2545,1398,1147,2545,144,113,166,65,223,279,309,494,373,303,67,9,2545,1036,230,8,215,13,930,113,1101,448,288,160,50,110,653,337,316,20307,1322,1101,151,950,2526,945,803,1748,778
"32003000510","Census Tract 5.10, Clark County, Nevada","Census Tract 5.10, Clark County, Nevada","nv","140","00","ACSSF","0000346",,,,,"32","003",,,,"000510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000510",,,"1144317","0",5019,5019,11359.75,0.441823282578915,5019,2490,2529,5019,278,483,272,254,502,1127,695,619,532,168,71,18,5019,1956,432,33,43,6,2327,222,1320,995,470,525,227,298,325,207,118,41833,1428,1320,595,725,5019,1181,1548,2729,2290
"32003000513","Census Tract 5.13, Clark County, Nevada","Census Tract 5.13, Clark County, Nevada","nv","140","00","ACSSF","0000347",,,,,"32","003",,,,"000513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000513",,,"1324161","0",3854,3854,7538.218,0.511261442137956,3854,1669,2185,3854,155,420,303,267,369,542,396,362,570,352,93,25,3854,2532,105,0,38,0,1159,20,1173,787,478,309,61,248,386,217,169,34122,1287,1173,687,486,3820,1280,1229,2509,1311
"32003000514","Census Tract 5.14, Clark County, Nevada","Census Tract 5.14, Clark County, Nevada","nv","140","00","ACSSF","0000348",,,,,"32","003",,,,"000514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000514",,,"1913109","0",6904,6904,9346.711,0.738655545894421,6904,3540,3364,6904,902,681,609,376,832,1190,845,479,487,232,191,80,6904,3537,523,41,564,6,1810,423,1789,1241,651,590,185,405,548,304,244,29741,1975,1789,589,1200,6432,1657,2139,3796,2636
"32003000515","Census Tract 5.15, Clark County, Nevada","Census Tract 5.15, Clark County, Nevada","nv","140","00","ACSSF","0000349",,,,,"32","003",,,,"000515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000515",,,"1339510","0",5376,5376,10394.68,0.517187724421889,5376,2857,2519,5376,476,359,659,166,608,656,802,686,489,311,127,37,5376,2564,576,0,87,57,1985,107,1363,1152,631,521,169,352,211,137,74,37310,1534,1363,635,728,5293,1652,1192,2844,2449
"32003000516","Census Tract 5.16, Clark County, Nevada","Census Tract 5.16, Clark County, Nevada","nv","140","00","ACSSF","0000350",,,,,"32","003",,,,"000516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000516",,,"1831624","0",5937,5937,8395.15,0.707194010165298,5937,3138,2799,5937,479,462,400,390,729,901,816,904,324,267,195,70,5937,3292,736,29,417,10,1119,334,1250,1005,603,402,150,252,245,88,157,27331,1442,1250,704,546,4907,2036,1180,3216,1691
"32003000517","Census Tract 5.17, Clark County, Nevada","Census Tract 5.17, Clark County, Nevada","nv","140","00","ACSSF","0000351",,,,,"32","003",,,,"000517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US32003000517",,,"1340141","0",4987,4987,9637.993,0.517431354894308,4987,2356,2631,4987,253,735,435,108,534,897,476,822,221,308,179,19,4987,2602,360,115,451,29,1064,366,1559,946,582,364,60,304,613,297,316,36902,1716,1559,645,914,4987,813,2057,2870,2117
