FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Combined Statistical Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),ZIP Code Tabulation Area (5-digit),Subbarrio (FIPS),School District (Elementary),School District (Secondary),School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Total Population,Total Population,Population Density (Per Sq. Mile),Area (Land),Total Population:,Total Population: Male,Total Population: Female,Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Households:,Households: Family Households,Households: Family Households: Married-Couple Family,Households: Family Households: Other Family,"Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present",Households: Nonfamily Households,Households: Nonfamily Households: Male Householder,Households: Nonfamily Households: Female Householder,Median Household Income (In 2017 Inflation Adjusted Dollars),Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly),Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling),Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling),Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A14006_001,SE_A10001_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005
6075010100,"Census Tract 101, San Francisco County, California","Census Tract 101, San Francisco County, California",ca,140,0,ACSSF,8984,,,,,6,75,,,,10100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010100,,,776490,646917,3967,3967,13231.96,0.299804478,3967,1914,2053,3967,83,83,119,76,278,1006,551,604,331,354,308,174,3967,1955,135,0,1549,0,189,139,2035,839,591,248,21,227,1196,596,600,81509,2303,2035,202,1833,3938,532,874,1406,2532
6075010200,"Census Tract 102, San Francisco County, California","Census Tract 102, San Francisco County, California",ca,140,0,ACSSF,8985,,,,,6,75,,,,10200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010200,,,515959,295388,4363,4363,21901.19,0.199212892,4363,2137,2226,4363,95,26,74,74,247,1367,594,486,460,467,298,175,4363,3677,34,0,488,9,57,98,2504,781,665,116,30,86,1723,805,918,125238,3056,2504,911,1593,4363,255,301,556,3807
6075010300,"Census Tract 103, San Francisco County, California","Census Tract 103, San Francisco County, California",ca,140,0,ACSSF,8986,,,,,6,75,,,,10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010300,,,268266,0,4377,4377,42257.97,0.103578086,4377,2339,2038,4377,49,120,150,24,237,1140,897,368,464,577,126,225,4377,2708,0,0,1445,0,120,104,2022,924,697,227,109,118,1098,581,517,118210,2379,2022,532,1490,4377,439,695,1134,3243
6075010400,"Census Tract 104, San Francisco County, California","Census Tract 104, San Francisco County, California",ca,140,0,ACSSF,8987,,,,,6,75,,,,10400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010400,,,335744,0,4645,4645,35832.34,0.129631489,4645,2363,2282,4645,175,144,152,8,218,1225,851,666,499,430,199,78,4645,2772,1,4,1320,0,71,477,2423,899,797,102,18,84,1524,778,746,106979,2883,2423,878,1545,4645,308,427,735,3910
6075010500,"Census Tract 105, San Francisco County, California","Census Tract 105, San Francisco County, California",ca,140,0,ACSSF,8988,,,,,6,75,,,,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010500,,,683605,494314,2691,2691,10195.45,0.263941377,2691,1406,1285,2691,200,0,64,18,174,425,433,332,279,343,296,127,2691,1487,243,0,659,0,47,255,1577,546,423,123,19,104,1031,554,477,108063,1976,1577,295,1282,2691,522,207,729,1962
6075010600,"Census Tract 106, San Francisco County, California","Census Tract 106, San Francisco County, California",ca,140,0,ACSSF,8989,,,,,6,75,,,,10600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010600,,,187223,0,3505,3505,48487.14,0.072287208,3505,1956,1549,3505,38,57,49,79,259,852,471,413,557,317,224,189,3505,1210,57,0,2161,0,23,54,1830,698,552,146,59,87,1132,701,431,37000,2154,1830,222,1608,3505,868,694,1562,1943
6075010700,"Census Tract 107, San Francisco County, California","Census Tract 107, San Francisco County, California",ca,140,0,ACSSF,8990,,,,,6,75,,,,10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010700,,,183170,0,5502,5502,77797.2,0.070722335,5502,2631,2871,5502,149,89,172,141,515,970,552,706,873,489,442,404,5502,1118,0,23,4164,0,181,16,2416,1318,898,420,82,338,1098,549,549,27786,2754,2416,244,2172,5502,1217,2130,3347,2155
6075010800,"Census Tract 108, San Francisco County, California","Census Tract 108, San Francisco County, California",ca,140,0,ACSSF,8991,,,,,6,75,,,,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010800,,,226078,0,4927,4927,56444.55,0.087289208,4927,2315,2612,4927,59,115,176,59,354,1267,709,612,480,567,264,265,4927,2744,0,0,1827,0,157,199,2547,808,680,128,65,63,1739,699,1040,100226,2759,2547,607,1940,4927,608,461,1069,3858
6075010900,"Census Tract 109, San Francisco County, California","Census Tract 109, San Francisco County, California",ca,140,0,ACSSF,8992,,,,,6,75,,,,10900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010900,,,250647,0,4519,4519,46695.77,0.096775352,4519,2097,2422,4519,51,76,71,16,140,1776,617,315,592,564,237,64,4519,3166,69,0,1135,0,43,106,2672,665,556,109,21,88,2007,988,1019,122206,2882,2672,541,2131,4519,289,383,672,3847
